name,cuisine,price,link
Victorian Vantage,"North Indian, Biryani, Italian, Continental, Chinese, Mughlai, Desserts, Pizza",₹800 for two,https://www.zomato.com/gwalior/victorian-vantage-lashkar/info
,,,https://www.zomato.com/gwalior/the-noodles-co-gulmohar-city/info
The Noodles Co.,"Chinese, Thai, Healthy Food, Momos, Fast Food, Shake, Beverages","₹1,200 for two",https://www.zomato.com/gwalior/the-noodles-co-gulmohar-city/info
,,,https://www.zomato.com/gwalior/sweet-sins-shakes-desserts-city-center/info
Sweet Sins Shakes & Desserts,"Beverages, Street Food, Fast Food, Waffle, North Indian",₹400 for two,https://www.zomato.com/gwalior/sweet-sins-shakes-desserts-city-center/info
,,,https://www.zomato.com/gwalior/maddys-cafe-city-center/info
Maddy’s Cafe,"Cafe, Italian, Chinese, Sandwich, Rolls, Desserts, Shake, Beverages",₹700 for two,https://www.zomato.com/gwalior/maddys-cafe-city-center/info
,,,https://www.zomato.com/gwalior/moti-mahal-delux-city-center/info
Moti Mahal Delux,"North Indian, Mughlai, Chinese, Seafood, Biryani","₹1,000 for two",https://www.zomato.com/gwalior/moti-mahal-delux-city-center/info
,,,https://www.zomato.com/gwalior/udupis-kitchen-city-center/info
Udupi's Kitchen,"South Indian, Biryani, Tea, Beverages",₹250 for two,https://www.zomato.com/gwalior/udupis-kitchen-city-center/info
,,,https://www.zomato.com/gwalior/wow-momo-city-center/info
WOW! Momo,"Momos, Chinese, Fast Food, Asian, Beverages",₹250 for two,https://www.zomato.com/gwalior/wow-momo-city-center/info
,,,https://www.zomato.com/gwalior/delhi-paranthe-wale-naya-bazaar/info
Delhi Paranthe Wale,North Indian,₹400 for two,https://www.zomato.com/gwalior/delhi-paranthe-wale-naya-bazaar/info
,,,https://www.zomato.com/gwalior/cakes-more-restaurant-lashkar/info
Cakes & More Restaurant,"Bakery, Sandwich, Fast Food, Chinese, North Indian, Street Food, Desserts, Beverages",₹400 for two,https://www.zomato.com/gwalior/cakes-more-restaurant-lashkar/info
,,,https://www.zomato.com/gwalior/hangout-cafe-city-center/info
Hangout Cafe,"Cafe, North Indian, Fast Food, Italian, Chinese, Pasta, Desserts, Beverages",₹800 for two,https://www.zomato.com/gwalior/hangout-cafe-city-center/info
,,,https://www.zomato.com/gwalior/swaad-the-taste-morar/info
Swaad The Taste,"North Indian, Chinese, Fast Food, South Indian, Street Food, Desserts, Beverages",₹500 for two,https://www.zomato.com/gwalior/swaad-the-taste-morar/info
,,,https://www.zomato.com/gwalior/gurukripa-family-restaurant-lashkar/info
Gurukripa Family Restaurant,"North Indian, South Indian, Chinese, Fast Food",₹500 for two,https://www.zomato.com/gwalior/gurukripa-family-restaurant-lashkar/info
,,,https://www.zomato.com/gwalior/shri-ram-paties-corner-lashkar/info
Shri Ram Paties Corner,"Fast Food, Sandwich, Beverages",₹250 for two,https://www.zomato.com/gwalior/shri-ram-paties-corner-lashkar/info
,,,https://www.zomato.com/gwalior/apsara-happy-hours-shinde-ki-chhawani/info
Apsara Happy Hours,"North Indian, Chinese, Fast Food, Beverages",₹700 for two,https://www.zomato.com/gwalior/apsara-happy-hours-shinde-ki-chhawani/info
,,,https://www.zomato.com/gwalior/shere-punjab-restaurant-cafe-city-center/info
Shere Punjab Restaurant & Cafe,"North Indian, Chinese, Fast Food, Cafe, South Indian",₹400 for two,https://www.zomato.com/gwalior/shere-punjab-restaurant-cafe-city-center/info
,,,https://www.zomato.com/gwalior/house-of-k-city-center/info
House Of K,"Biryani, Mughlai, North Indian, Rolls, Fast Food, Kebab","₹1,000 for two",https://www.zomato.com/gwalior/house-of-k-city-center/info
,,,https://www.zomato.com/gwalior/fnp-cakes-n-more-city-center/info
FNP Cakes N More,"Bakery, Desserts, Beverages, Cake",₹300 for two,https://www.zomato.com/gwalior/fnp-cakes-n-more-city-center/info
,,,https://www.zomato.com/gwalior/pizza-burger-hub-lashkar/info
Pizza & Burger Hub,"Pizza, Burger, Fast Food, Beverages",₹350 for two,https://www.zomato.com/gwalior/pizza-burger-hub-lashkar/info
,,,https://www.zomato.com/gwalior/shri-ram-sweets-and-snacks-city-center/info
Shri Ram Sweets And Snacks,Street Food,₹100 for two,https://www.zomato.com/gwalior/shri-ram-sweets-and-snacks-city-center/info
,,,https://www.zomato.com/gwalior/the-royal-punjab-city-center/info
The Royal Punjab,"North Indian, South Indian, Chinese, Fast Food, Beverages",₹700 for two,https://www.zomato.com/gwalior/the-royal-punjab-city-center/info
,,,https://www.zomato.com/gwalior/bantu-dhaba-and-family-restaurant-deen-dayal-nagar/info
Bantu Dhaba And Family Restaurant,North Indian,₹300 for two,https://www.zomato.com/gwalior/bantu-dhaba-and-family-restaurant-deen-dayal-nagar/info
,,,https://www.zomato.com/gwalior/rajasthani-bhojanalaya-lashkar/info
Rajasthani Bhojanalaya,"Rajasthani, North Indian",₹250 for two,https://www.zomato.com/gwalior/rajasthani-bhojanalaya-lashkar/info
,,,https://www.zomato.com/gwalior/cooks-fast-food-bakery-lashkar/info
Cook's Fast Food & Bakery,"Bakery, Pizza, Burger, Fast Food, Chinese, North Indian, Sandwich, Beverages",₹500 for two,https://www.zomato.com/gwalior/cooks-fast-food-bakery-lashkar/info
,,,https://www.zomato.com/gwalior/happiness-lashkar/info
