name,location,locality,city,cuisine,rating,votes,cost,main_cuisine
Kitchen District,"Sector 83, Gurgaon",Gurgaon,Gurgaon,"Multi-Cuisine,  North Indian,  Continental,  Japanese,  Asian",4.3,172,3000,Multi-Cuisine
Dagrooz,"Sapphire 83 Mall,Sector 83, Gurgaon",Gurgaon,Gurgaon,"Multi-Cuisine,  North Indian,  Chinese",4.4,4,700,Multi-Cuisine
Bikkgane Biryani,"The Grand Venice Mall,Surajpur Site 4, NCR Greater Noida",NCR Greater Noida,Noida,"Biryani,  North Indian",3.7,10,1100,Biryani
Yummy Tummy Corner,"Sapphire 83 Mall,Sector 83, Gurgaon",Gurgaon,Gurgaon,North Indian,4.5,2,400,North Indian
Awesum Dimsum,"Sector 83, Gurgaon",Gurgaon,Gurgaon,Chinese,3.7,6,800,Chinese
Under The Neem,"NH 8, Gurgaon",Gurgaon,Gurgaon,Continental,4.6,146,1500,Continental
Grill Inn,"The Grand Venice Mall,Surajpur Site 4, NCR Greater Noida",NCR Greater Noida,Noida,Fast Food,1.0,1,500,Fast Food
AK's Bar,"Karma Lakelands,Sector 83, Gurgaon",Gurgaon,Gurgaon,"Continental,  Asian,  North Indian",4.3,14,2200,Continental
On Kourse All Day Dining,"Karma Lakelands,Sector 83, Gurgaon",Gurgaon,Gurgaon,"Asian,  North Indian,  Japanese,  European",4.5,53,1800,Asian
Silbuttah Story,"Sector 12, Faridabad",Faridabad,Noida,"North Indian,  Oriental ,  Fast Food",4.2,30,1800,North Indian
Singh Ching,"Hudson Lane, North Delhi",North Delhi,Delhi,"North Indian,  Chinese,  Mughlai",4.3,120,800,North Indian
Pikwik,"Pitampura, North Delhi",North Delhi,Delhi,"North Indian,  Chinese,  Mughlai",4.4,258,1000,North Indian
Pikwik,"Ring Road Mall,Rohini, North Delhi",North Delhi,Delhi,"North Indian,  Chinese,  Mughlai",4.3,145,1800,North Indian
Pop Tate's,"Mayfair Sonata Green CHS,Vikhroli West, Central Suburbs",Central Suburbs,Mumbai,"Chinese,  Italian,  Continental",4.3,333,2000,Chinese
